Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
Z Dorsal patch 34,-823.1424805,-548.3825684,-1267.539746,-665.3060059,-1274.51123,-1018.050488,-979.872168,-1263.441895,-893.0120117,-746.8009766,-504.1766602,-494.4865234
X Dorsal patch 33,-27.13860168,52.0446106,-26.75328979,-24.46486206,-30.04888,-31.13763428,-25.73781128,-28.24533081,30.04458008,-79.25192261,-85.16644897,-96.99556274
Y Dorsal patch 33,574.5075195,19.03605042,76.55615845,30.4240509,71.71530762,64.62133179,72.26393433,69.64287109,278.7763916,-25.04942932,-31.59573669,283.5361328
Z Dorsal patch 33,-812.5546875,-535.7588379,-1256.643359,-653.9287598,-1263.735156,-1008.318555,-971.1988281,-1253.141992,-882.5733398,-738.6684082,-497.6467773,-488.2014648
X Dorsal patch 32,-9.557807922,61.58876343,-9.856433868,-6.113617706,-8.192908478,-9.076803589,-8.368403625,-6.039657974,44.91893921,-57.19015503,-59.60689697,-72.67437134
Y Dorsal patch 32,556.1891602,-1.885474777,55.76619873,10.24829788,53.4057251,45.80431824,54.48548584,50.63847961,261.9380127,-42.33049316,-46.24741821,264.2402588
Z Dorsal patch 32,-795.8301758,-513.6958008,-1241.028906,-636.0037598,-1249.395703,-991.4519531,-957.2162109,-1235.11748,-866.6458984,-727.4849121,-486.5655762,-483.6869629
X Dorsal patch 31,-24.99163818,48.08522034,-28.31730957,-24.74017639,-43.5166687,-41.0928009,-34.48902588,-40.52749939,20.59250641,-82.71928101,-80.86995239,-99.70435791
Y Dorsal patch 31,526.9553711,-33.25284119,26.49642639,-23.36890106,25.53061981,20.48251953,30.80567017,28.59782715,242.8642334,-65.8527832,-72.45549316,238.7720947
Z Dorsal patch 31,-800.6709961,-521.5126953,-1243.326953,-638.332666,-1246.901074,-990.7394531,-958.0926758,-1231.980371,-873.2200195,-724.5244141,-484.1582031,-478.9583496
X Dorsal patch 300,11.08812256,77.04326782,2.929452515,6.327251434,15.44082184,9.335624695,7.319527435,11.07546005,58.80714722,-41.25172729,-37.21956482,-54.80631714
