Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
X Dorsal patch 7,-9.412719727,62.78223877,-7.865068054,-5.259137726,-6.527737427,-8.337307739,-7.638877869,-5.026743317,46.05737,-57.01722412,-62.45581055,-72.5793335
Y Dorsal patch 7,570.6321777,12.88344269,71.01173096,26.02264099,68.281604,60.90665894,68.63599854,64.43773804,275.7141113,-27.40665283,-30.03590088,280.7880615
Z Dorsal patch 7,-797.5070801,-516.4539551,-1243.42666,-639.3603027,-1250.907715,-992.8976563,-957.3928711,-1237.244238,-866.4887695,-729.7455566,-488.2442383,-484.8018066
X Dorsal patch 69,-31.41774292,49.27763672,-32.27637024,-29.1324585,-39.69532776,-39.11084595,-34.47207642,-37.40298462,25.24583588,-87.53146362,-94.00209961,-104.7526611
Y Dorsal patch 69,586.9590332,31.12246399,90.18613892,43.23919678,84.35341797,77.30863647,84.59552002,83.62056274,292.3637451,-11.42418976,-19.24631195,298.3657959
Z Dorsal patch 69,-818.8491699,-545.8149902,-1264.802539,-662.2061035,-1267.556836,-1012.266992,-973.0885742,-1257.392578,-885.2030273,-742.5042969,-500.0311035,-490.0563477
X Dorsal patch 68,-7.64575119,62.65496826,-10.48144226,-9.518432617,-12.92969513,-13.84701538,-15.72893372,-15.4884079,42.48396912,-61.71715088,-58.84760742,-76.21585083
Y Dorsal patch 68,492.9391113,-63.23983765,-11.65910721,-56.53424072,-11.48583679,-15.16019135,-4.949066544,-9.944160461,208.0316162,-101.2957153,-105.4045166,203.1629883
Z Dorsal patch 68,-804.1234863,-519.0245605,-1244.592383,-638.1741699,-1252.789355,-997.3386719,-961.9173828,-1238.958105,-871.5857422,-732.6478027,-492.9622559,-489.6908203
X Dorsal patch 67,-25.77048645,55.0866333,-22.38649902,-20.59664154,-30.59577332,-30.0391571,-26.04400635,-27.94143677,34.88618164,-76.96312256,-86.86497192,-92.03563232
Y Dorsal patch 67,602.260498,43.18089294,102.6708252,56.85135498,102.5814453,94.53232422,100.3166992,99.3402771,308.3503174,4.222768021,-2.673944092,315.1666504
Z Dorsal patch 67,-809.1203613,-536.3732422,-1255.456543,-654.7337891,-1259.758887,-1007.371191,-966.4026367,-1251.183984,-876.1131836,-738.086084,-494.6856445,-484.5678223
X Dorsal patch 66,-25.35305939,53.712854,-24.92930756,-21.80261536,-25.74698181,-26.31499939,-22.85557251,-21.9911026,34.36515503,-73.73656616,-77.98377075,-91.04915161
Y Dorsal patch 66,559.7981445,3.516107559,61.44678345,15.56025238,55.1545166,49.93791504,57.14521484,55.54666748,263.8567383,-39.54309082,-45.58234558,267.7803955
Z Dorsal patch 66,-809.1074707,-529.4717285,-1253.194043,-648.0095703,-1260.209375,-1006.424316,-968.7761719,-1250.005371,-882.8124023,-737.3231445,-496.0210449,-489.636377
X Dorsal patch 65,-13.61457367,57.43724365,-15.30097961,-14.85921936,-19.96734314,-20.49151764,-22.08160248,-21.89554443,36.93993835,-67.47738647,-65.79980469,-83.62848511
Y Dorsal patch 65,496.7271484,-58.61047363,-6.306317902,-52.73660889,-8.186766052,-11.21166916,-1.274143314,-5.989213562,212.2710693,-97.02247925,-102.2483032,206.5917969
Z Dorsal patch 65,-803.6861328,-520.2799316,-1244.441406,-638.3188965,-1253.492871,-997.0636719,-962.3607422,-1238.983887,-872.7042969,-731.4579102,-491.3854492,-489.2072754
X Dorsal patch 64,3.586214447,72.37128296,-4.447994995,-0.693659639,1.096161461,-3.162542725,-4.941181564,-5.055445099,51.02655334,-51.94042969,-46.47388,-65.48915405
Y Dorsal patch 64,456.3205078,-105.1585815,-58.11091919,-97.32108765,-51.94223022,-55.8343689,-44.10800171,-51.10195618,175.7243042,-133.5635376,-135.6050781,171.4939697
Z Dorsal patch 64,-815.0887695,-527.0150391,-1252.168652,-647.3416016,-1251.741895,-995.6150391,-962.9953125,-1238.529297,-873.9085938,-740.3357422,-500.9587402,-497.3523926
X Dorsal patch 63,-2.021175766,65.49799805,-4.061275482,-1.28743391,-1.389698982,-3.259342575,-3.903110123,-1.194533825,49.54186401,-52.30985718,-52.70341797,-66.7303894
Y Dorsal patch 63,539.842334,-19.48559113,38.84633484,-7.251461792,36.42623596,28.10995789,37.63650513,34.15204468,246.0460693,-60.21657715,-62.72495728,246.3594727
Z Dorsal patch 63,-794.7160645,-510.2146484,-1237.931348,-632.7863281,-1248.8,-991.2460938,-956.9774414,-1235.080762,-866.0617188,-727.5434082,-487.1725098,-485.3358887
X Dorsal patch 62,-22.80841522,54.41116333,-20.02073822,-18.02634125,-23.79915924,-23.59667053,-20.44805145,-21.11788635,34.415979,-70.45001221,-79.88779297,-88.34190674
Y Dorsal patch 62,581.5008789,24.95166626,83.4994751,38.34206848,81.70875244,73.32174072,80.23837891,77.51765137,287.6650635,-16.75278473,-21.07839661,293.7713135
Z Dorsal patch 62,-803.8043945,-527.562207,-1248.518262,-646.8219238,-1255.261621,-1002.408398,-963.0237305,-1244.959277,-872.7765625,-733.9690918,-491.1671875,-484.046875
X Dorsal patch 61,2.039099312,69.68081665,-3.904573441,-1.044387627,0.310176539,-2.689969063,-4.658546448,-3.673809814,50.73814697,-51.72974243,-48.31545105,-65.33097534
Y Dorsal patch 61,481.841748,-76.58171997,-26.77519531,-68.5109314,-21.25985565,-26.16741943,-15.25180054,-20.84592438,198.6766479,-110.6893799,-113.6564209,194.4934326
Z Dorsal patch 61,-807.1283203,-518.5345215,-1246.406152,-640.4809082,-1253.411035,-998.5235352,-961.9925781,-1238.582129,-869.4083008,-734.7799805,-495.7437988,-492.1841309
X Dorsal patch 60,-4.896001053,67.51230469,-1.696869469,-0.542671728,-1.19753418,-3.183980179,-3.3137043,0.245277715,50.87603149,-54.25054321,-59.41199341,-67.93786011
Y Dorsal patch 60,582.3613281,23.5211441,82.15472412,36.5825592,81.94691162,74.12332764,80.0055542,75.40401001,287.9405518,-15.51842041,-17.22036896,293.7785156
Z Dorsal patch 60,-796.3880859,-516.2458008,-1243.577637,-639.6973633,-1249.878125,-992.8635742,-957.8875977,-1236.195801,-864.6933594,-730.5355469,-490.0281738,-485.2583496
X Dorsal patch 6,-24.80395508,53.71595459,-25.31009216,-23.13519287,-27.52973022,-27.98378906,-25.09823608,-24.89215546,34.26341553,-76.92783203,-81.25929565,-94.34244995
Y Dorsal patch 6,563.8286133,7.194522858,64.98261108,18.53069,59.14697876,53.29404297,59.86277466,56.38898315,265.7799316,-38.18156433,-43.95907898,270.4151855
Z Dorsal patch 6,-813.7756348,-533.9129395,-1258.317676,-653.5646484,-1264.80293,-1010.319434,-973.1540039,-1255.886328,-887.6272461,-742.7203613,-501.0338867,-493.1546875
X Dorsal patch 59,-21.03320618,51.10913086,-23.00857391,-19.34334259,-35.75874939,-32.68096924,-27.28765869,-31.83895569,25.68157043,-75.05203247,-73.68935547,-91.83793335
Y Dorsal patch 59,530.1405762,-29.89625549,30.06151428,-18.40460815,27.68335266,22.30363617,31.99034729,30.51343384,243.7609375,-65.00766602,-70.44407959,239.8716553
Z Dorsal patch 59,-797.739209,-517.9025391,-1240.834766,-635.5126465,-1243.924805,-987.9111328,-956.2124023,-1229.274023,-869.0765625,-723.051416,-483.4710449,-478.3930664
X Dorsal patch 58,-6.404667664,61.60944824,-9.155343628,-6.465906525,-10.3970726,-10.53419342,-10.13953781,-9.154614258,43.16340637,-57.66434937,-57.27264404,-73.17232056
