Name,CW_NR0654,CW_NR0718,CW_M1937,CW_M22220,CW_M11977,CW_M21375,CW_NR1328,CW_NR1351,CW_NR1352,CW_NR1353,CW_NR1609,CW_M29,CW_M1943,CW_M11973,CW_M11,CW_M68,CW_M1942,CW_M11968,CW_M3721,CW_M11976,CW_JM5397,NHNW_B118,NHNW_B14,NHNW_B34,NHNW_B71,NHNW_J14051,NHNW_JM12487,NHNW_JM18942,NHNW_JM19739,NHNW_JM2546,NHNW_JM7474,NHNW_JM8466,NHNW_SNC1,NHNW_SNC2,SHNW_M8746,SHNW_M8887,SHNW_M8748,SHNW_M8801,SHNW_NR1326,SHNW_NR1348,SHNW_NR1349,SHNW_M8807,SHNW_M8749,SHNW_M8867,SHNW_M8827,SHNW_M8752,SHNW_M8774,SHNW_M8952,SHNW_M8892,SHNW_M8951,SHNW_F_Good_Teeth,SHNW_F_Poor_Teeth,SHNW_Holly,SHNW_M_Good_Teeth,SHNW_Mr_Fox
Z Mandibular patch 192,-248.0459961,-279.5258545,-837.0964844,-842.7144531,-840.2651367,-826.61875,-577.6254883,-640.9680664,-993.2438477,-253.3760254,-909.0408203,-814.3524414,-794.4321289,-818.9784668,-813.5202637,-796.4120117,-563.4657227,-543.2721191,-569.1340332,-541.2780762,-1393.748535,-1442.760254,-1428.660742,-1444.147656,-1173.195215,-1444.724902,-1477.00918,-1156.540039,-1178.262793,-1479.912988,-1110.180859,-1209.786133,-1182.09502,-1434.561426,-889.2339844,-915.2445313,-919.0302734,-892.1189453,663.3176758,354.5233643,987.9206055,-781.187207,-767.6155762,-784.4689453,-788.4775879,-771.1134766,-541.801123,-526.0590332,-546.4116211,-525.8418457,-909.2338867,-893.3000977,-923.6365234,-907.2321289,-920.1670898
X Mandibular patch 191,-28.30591736,-40.39802246,38.36340942,-27.38050842,28.60932312,-84.66262817,-36.66242371,-36.87365723,-36.90536499,-26.86474609,-37.17570496,30.18020325,-82.45230103,-33.94484863,26.1540741,-87.8864624,36.39020996,-88.56837769,23.1848114,-90.88665771,30.92710876,-33.75809326,-42.43919678,-29.19212646,-37.51041565,-34.18540649,-32.93995361,-28.64954834,-38.8128479,-31.55349731,-29.59782104,-50.63794556,-38.90015259,-35.9331604,-83.3579895,-38.02128601,21.07045288,-84.16976929,-32.11010437,-30.65808716,-32.03147583,24.20452881,-81.93049316,-32.03341064,26.80392761,-78.63304443,29.84286194,-81.88679199,21.48182068,-96.3901123,-33.13619385,-34.21590576,-26.89970093,-40.55918274,-19.33762512
Y Mandibular patch 191,-49.89240112,-45.43772583,-127.4404541,442.9569824,164.7593262,172.702002,-72.83981323,-35.11556091,-55.62895508,-71.51762085,-62.82779541,-122.8201904,-145.6033081,438.0071289,167.5173584,156.1555054,-124.7835571,-137.3458496,175.2540161,171.4061646,56.92788696,42.37794189,46.44688721,43.92170105,51.74302368,56.34829712,53.4329834,34.1472229,37.09451599,44.10078125,30.62992859,59.91797485,35.2346344,41.18245544,-131.3429077,414.589209,153.3172119,166.5029663,-50.23634949,-54.72960815,-55.46000977,-142.0448486,-151.4277588,414.835498,149.8364502,147.9181763,-144.8365112,-161.1317383,152.940271,149.061792,-15.2673111,-11.52272873,24.09089966,-8.031599426,-12.15860519
Z Mandibular patch 191,-209.4432861,-232.6055176,-796.6850098,-799.9921387,-801.3706055,-786.6674316,-539.1241211,-596.079541,-950.3893555,-218.1749756,-873.193457,-773.4188965,-757.6540039,-778.095752,-773.8363281,-754.4185547,-525.3321289,-502.2383789,-527.6831055,-508.3643555,-1436.465039,-1401.868262,-1387.288086,-1416.49541,-1127.048926,-1403.035645,-1434.593848,-1116.196289,-1129.485547,-1433.753516,-1068.034082,-1159.99082,-1143.309082,-1395.826563,-853.693457,-875.8770508,-880.1772461,-858.0898438,701.3976563,394.4447266,1027.767773,-735.6556152,-730.4926758,-748.2165039,-753.3967285,-732.687793,-504.223877,-490.840918,-506.6295898,-488.2349609,-877.1173828,-855.8775391,-898.1398438,-870.3379883,-887.1655273
X Mandibular patch 190,-31.11922913,-45.94665833,43.1191864,-27.57963257,32.03321838,-92.36095581,-39.67535095,-39.1749054,-40.25811768,-32.51890259,-40.03627625,30.79307556,-90.3168457,-34.04077454,26.29524841,-96.78830566,38.70549011,-95.75554199,25.8184906,-98.7045166,35.71060486,-37.10133667,-43.87267151,-31.15679626,-39.00422668,-40.5505249,-36.78195496,-32.78293457,-39.36717834,-36.35362549,-34.30978088,-48.65844421,-44.24829407,-38.51548767,-90.87647095,-40.46736755,25.61440735,-94.23204346,-34.67930908,-33.65999756,-34.989151,31.94113464,-90.51900024,-35.06163635,27.95821228,-86.3006897,34.63128357,-89.17942505,24.63626251,-100.3963806,-35.83346252,-36.81987915,-30.23460083,-39.61001282,-23.13803558
Y Mandibular patch 190,-60.99957275,-58.59124756,-139.47323,431.9157715,154.155896,158.7400269,-82.78592529,-43.70641174,-59.74782715,-84.75671387,-76.74784546,-137.2779053,-154.9250366,424.1069336,162.0409668,147.8255859,-129.1487061,-143.650647,168.8374512,168.8313843,47.16400146,34.78005676,37.19654541,37.2924469,39.70126953,49.32582397,44.8140686,24.26781769,31.61663513,28.79089966,31.4593811,43.86403503,26.05111389,32.43215637,-141.9568604,403.24021,138.7415039,154.786731,-61.13198853,-59.61694336,-55.63822632,-150.7360718,-167.0492065,401.9655029,139.0623535,137.9633301,-159.2516968,-172.2927246,143.4777832,136.3258423,-18.46378021,-15.18537292,35.19519958,-10.39131393,-1.216659832
Z Mandibular patch 190,-230.2169189,-258.6472656,-818.8473145,-824.1550781,-821.9838867,-808.7947266,-558.3101074,-621.2618652,-975.0801758,-238.1305908,-891.615625,-795.2569336,-778.3192383,-798.725293,-797.234375,-776.1990723,-546.0654297,-525.0085938,-550.196875,-529.4749023,-1414.43584,-1425.244238,-1412.19502,-1433.12627,-1154.316211,-1426.464355,-1460.722363,-1139.847461,-1159.17793,-1459.277344,-1094.645996,-1189.717773,-1167.600195,-1419.14043,-874.9041992,-897.9064453,-900.2639648,-878.5785156,678.8352539,370.3189209,1004.781836,-760.3344238,-751.8472656,-769.7167969,-771.8901855,-754.1257813,-524.3661133,-511.3493652,-527.5996094,-510.3462402,-896.9358398,-877.5817383,-916.6223633,-893.7707031,-908.3727539
X Mandibular patch 19,-3.250704575,-13.30321655,68.33366089,-2.55557518,53.68798828,-59.85821533,-5.090468216,-12.6121994,-14.0153183,-11.03137817,-8.313140869,52.12529297,-59.6680481,-4.815422821,45.26820068,-67.85945435,56.2286499,-64.95841064,56.35769653,-69.33533325,7.927735138,-11.43559494,-13.56200104,-10.33764267,-11.6256424,-10.19798126,-8.869732666,-6.907603455,-8.298072815,-9.661520386,-8.521302032,-17.09785004,-11.72011871,-12.03068085,-61.96655884,-11.94661789,50.46180725,-67.74904175,-9.376206207,-6.649052429,-14.06559448,55.5446228,-63.48603516,-7.494670868,52.59152222,-56.37129517,61.29129028,-61.28222046,51.88737183,-61.31229248,-14.65586243,-10.26204376,-10.41500015,-7.312268829,3.982785416
Y Mandibular patch 19,-130.4602783,-134.8885864,-205.567627,361.5470947,88.83292236,89.25568237,-151.9134399,-124.8093506,-135.1047974,-154.3300049,-147.3418335,-208.6532227,-220.4025635,359.4799561,96.96853027,77.60516968,-198.0202881,-217.1967773,101.5567078,106.8137939,-28.74083557,-29.05580139,-28.08223877,-16.11265717,-32.43223877,-23.52972717,-20.72173309,-41.33265381,-37.31297607,-42.24155273,-38.17231445,-28.87833862,-38.60083313,-28.89041138,-205.3712646,345.4249756,80.74888306,93.1359436,-125.3117676,-121.6518066,-121.525,-215.6447266,-230.2312256,340.5950439,79.06725464,73.91015015,-217.0592773,-235.0283203,82.50327148,74.14768677,-76.0593689,-79.07132568,-2.200099945,-65.42468262,-48.24501648
Z Mandibular patch 19,-215.0772461,-251.4730713,-795.9725586,-805.2667969,-805.5908691,-799.7140625,-536.8955566,-612.0244629,-977.3860352,-220.6249268,-873.5606445,-770.5474609,-776.6860352,-778.6570801,-790.5648438,-779.9808105,-538.5949707,-534.0850098,-539.8324707,-543.1205078,-1424.313477,-1415.633008,-1402.058008,-1434.022363,-1140.753906,-1420.565234,-1456.215918,-1127.604102,-1152.582617,-1442.927344,-1110.808691,-1175.261719,-1158.379492,-1415.036328,-867.9379883,-879.822168,-874.0223633,-876.6324219,689.1714355,367.9181152,988.9339844,-748.8309082,-737.6346191,-754.2958984,-749.8192871,-746.9918945,-496.3521484,-498.369873,-503.3942383,-501.9749023,-909.1949219,-883.303418,-969.5792969,-909.909082,-955.1583984
