Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2112,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo,Koala_Cascade,Koala_Cindy,Koala_Crockett,Koala_Eddie
Y Dorsal patch 16,46.00508728,34.00518494,286.0715332,239.8820801,517.4041504,498.6214355,45.42294922,27.62224731,265.759668,263.7299561,507.0795898,56.53971558,291.7039307,258.6999756,537.3717285,498.8413086,735.4097656,743.1724121,77.1968811,62.77478027,155.2078369,74.23464966,67.57080078
Z Dorsal patch 16,-629.8717285,-632.526416,-632.5428223,-631.8037109,-631.546582,-629.6797363,-568.1365723,-568.6988281,-574.0776855,-572.0260742,-568.618457,-821.7670898,-819.2463867,-826.6946289,-816.7070313,-823.7564453,-827.7854492,-821.4333008,-1221.744629,-1225.491699,-1265.321875,-1215.395605,-1208.130957
X Dorsal patch 159,53.81537476,-35.91248779,57.4737793,-33.91469421,57.14168701,-27.06568298,70.59567871,-14.40375061,72.29417114,-7.525154877,73.7611145,-37.8776001,-32.11163025,43.46277161,-32.96743774,48.03962097,-32.35302734,59.1432373,9.469029236,-3.639401245,0.347721577,11.7116745,10.22829971
Y Dorsal patch 159,13.16587677,7.947492218,251.6480713,214.372998,487.6691895,466.3787598,10.98996735,-3.043930435,237.8091797,229.7471924,475.5126465,27.25159302,261.2843018,230.2594238,503.8699707,468.3507813,709.3648438,712.9991699,47.46642761,41.36595764,128.0265625,40.5117981,38.74079895
Z Dorsal patch 159,-618.662207,-634.6965332,-621.1308594,-632.8035156,-618.879834,-626.5175781,-556.6933105,-567.4218262,-564.593457,-568.6099609,-556.9032715,-818.493457,-816.4953125,-819.6595703,-815.9071777,-813.6400879,-825.8866211,-811.5744629,-1213.244043,-1212.658691,-1250.622559,-1206.632422,-1198.641016
X Dorsal patch 158,72.19589233,-25.05020142,75.60089111,-20.93748474,77.89794312,-10.35514908,92.65328979,2.158212852,89.95738525,8.572904205,93.96382446,-24.54385376,-16.21481781,58.99312134,-16.44095306,67.31754761,-19.80158844,78.5875061,27.56266479,9.961061859,18.41365967,30.9243042,28.46940002
Y Dorsal patch 158,36.26394958,26.79603882,275.6654785,232.4645996,508.4074219,488.0098145,35.52102051,18.41372375,257.5146484,252.2646973,497.6545898,47.33751831,281.9204834,252.3558594,527.0024902,487.0047363,726.5059082,736.3839355,70.33057861,63.62617188,147.7605957,63.52913208,63.97449951
Z Dorsal patch 158,-628.2777344,-645.3611328,-629.3438477,-645.4605469,-631.3034668,-642.5771973,-564.0514648,-578.4304688,-572.409668,-582.6291504,-563.6072754,-836.2395508,-832.0697266,-827.7836914,-830.7161133,-823.7199219,-839.3044922,-821.6625977,-1222.73252,-1225.274512,-1260.786914,-1218.415039,-1213.42998
X Dorsal patch 157,72.30192261,-24.90934143,76.00861206,-22.73399658,77.78330078,-11.11273804,91.81791992,0.742490244,89.71624146,7.166980743,95.26956787,-25.18666229,-15.03521881,59.26777344,-15.45281372,67.50782471,-20.89798584,80.15565796,26.65431824,12.65094299,19.20415649,30.02596436,29.142099
Y Dorsal patch 157,28.38733826,18.93291168,266.2266113,225.3664063,501.1590332,479.9712891,26.75415955,11.02949066,251.8947021,243.4656006,488.5460938,37.41820984,269.9321533,245.491333,518.1529297,480.182373,718.7078125,728.5052246,62.51577148,56.3946106,140.1763428,54.65335083,54.0973999
